,Country,Popularity,Title,Artist,Album/Single,Artist_followers,Explicit,Album,Release_date,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,Genre_new
52635,Global,221570.99999999988,shape of you,Ed Sheeran,album,71783101.0,False,÷ (Deluxe),2017-03-03,0.825,0.652,1.0,-3.1830000000000003,0.0,0.0802,0.581,0.0,0.0931,0.931,95.977,233713.0,pop
60179,Global,157269.99999999985,dance monkey,Tones And I,single,2283019,False,Dance Monkey,2019-05-10,0.825,0.593,6.0,-6.401,0.0,0.0988,0.688,0.000161,0.17,0.54,98.078,209755.0,pop
83394,Global,130062.25000000028,bad guy,Billie Eilish,album,34697267,False,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,0.701,0.425,7.0,-10.965,1.0,0.375,0.328,0.13,0.1,0.562,135.128,194088.0,pop
14213,Global,129769.89999999983,perfect,Ed Sheeran,album,71783101.0,False,÷ (Deluxe),2017-03-03,0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,263400.0,pop
71356,Global,111896.05000000016,shallow,Lady Gaga - Bradley Cooper,album,14439685,False,A Star Is Born Soundtrack,2018-10-05,0.5720000000000001,0.385,7.0,-6.362,1.0,0.0308,0.371,0.0,0.231,0.32299999999999995,95.799,215733.0,pop
12538,Global,111270.55000000037,happier,Marshmello - Bastille,single,27670203.0,False,Happier,2018-08-17,0.687,0.792,5.0,-2.749,1.0,0.0452,0.191,0.0,0.16699999999999998,0.6709999999999999,100.015,214290.0,dance/electronic
78320,Global,109246.3500000002,sicko mode,Travis Scott,album,13434540,True,ASTROWORLD,2018-08-03,0.8340000000000001,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.00799999999995,312820.0,rap
39577,Global,108917.90000000015,sad!,XXXTENTACION,album,22910410.0,True,?,2018-03-16,0.74,0.613,8.0,-4.88,1.0,0.145,0.258,0.00372,0.123,0.473,75.023,166606.0,rap
41393,Global,108617.10000000002,señorita,Shawn Mendes - Camila Cabello,album,29743681.0,False,Shawn Mendes (Deluxe),2019-06-19,0.759,0.5479999999999999,9.0,-6.049,0.0,0.029,0.0392,0.0,0.0828,0.7490000000000001,116.967,190800.0,pop
30451,Global,106907.24999999984,say you wont let go,James Arthur,album,6843219.0,False,Back from the Edge,2016-10-28,0.358,0.557,10.0,-7.398,1.0,0.059,0.695,0.0,0.0902,0.494,85.04299999999998,211467.0,pop
69259,Global,106252.30000000016,better now,Post Malone,album,29173640,True,beerbongs & bentleys,2018-04-27,0.68,0.578,10.0,-5.8039999999999985,1.0,0.04,0.331,0.0,0.135,0.341,145.03799999999995,231267.0,rap
